day	hour	value
1	0	1600
1	2	2000
1	4	0
1	6	0
1	8	10
1	10	200
1	12	0
1	14	900
1	16	2500
1	18	4900
1	20	1100
1	22	3250
2	0	600
2	2	200
2	4	0
2	6	0
2	8	0
2	10	200
2	12	400
2	14	1100
2	16	2800
2	18	1475
2	20	3652
2	22	1111
3	0	500
3	2	800
3	4	800
3	6	0
3	8	0
3	10	200
3	12	500
3	14	1200
3	16	3256
3	18	1245
3	20	1254
3	22	5262
4	0	0
4	2	0
4	4	0
4	6	0
4	8	0
4	10	200
4	12	400
4	14	1300
4	16	2600
4	18	5800
4	20	6100
4	22	5900
5	0	200
5	2	0
5	4	800
5	6	200
5	8	0
5	10	200
5	12	400
5	14	400
5	16	3100
5	18	4854
5	20	5421
5	22	5000
6	0	200
6	2	0
6	4	200
6	6	0
6	8	0
6	10	0
6	12	400
6	14	800
6	16	800
6	18	600
6	20	1400
6	22	1200
7	0	700
7	2	600
7	4	0
7	6	0
7	8	0
7	10	0
7	12	0
7	14	0
7	16	0
7	18	0
7	20	200
7	22	200
